[Command: python -u C:\Users\OSAGGA\Documents\ROA_PyTrie\setCompare.py]
27960
27876
['2800:830::', '31', '-', '31', '19114']
['186.15.0.0', '18', '-', '18', '52228']
['190.104.48.0', '20', '-', '20', '52367']
['46.244.96.0', '22', '-', '22', '46562']
['41.222.48.0', '21', '-', '21', '32653']
['210.213.128.0', '18', '-', '18', '9299']
['186.66.128.0', '17', '-', '22', '14522']
['131.221.164.0', '22', '-', '22', '27901']
['2a00:6060::', '32', '-', '32', '60983']
['199.47.224.0', '21', '-', '21', '17216']
['181.174.0.0', '18', '-', '23', '22368']
['179.5.0.0', '16', '-', '16', '14754']
['2401:7000::', '32', '-', '32', '45177']
['203.213.192.0', '19', '-', '19', '9497']
['210.213.192.0', '18', '-', '18', '9299']
['210.14.0.0', '19', '-', '19', '9299']
['186.15.128.0', '17', '-', '17', '52228']
['131.161.52.0', '22', '-', '22', '263686']
['2803:f900::', '32', '-', '48', '262254']
['2c0f:fbf0::', '28', '-', '28', '32653']
['178.249.152.0', '21', '-', '21', '51088']
['138.99.224.0', '22', '-', '22', '27901']
['46.244.0.0', '19', '-', '19', '51088']
['177.234.192.0', '18', '-', '18', '27765']
['119.2.96.0', '19', '-', '19', '17660']
['191.99.0.0', '16', '-', '16', '27738']
['203.106.128.0', '17', '-', '17', '4788']
['46.244.96.0', '19', '-', '19', '51088']
['212.218.0.0', '16', '-', '16', '8319']
['191.99.0.0', '16', '-', '21', '27738']
['45.253.128.0', '23', '-', '23', '134743']
['182.54.156.0', '22', '-', '22', '17501']
['103.70.78.0', '24', '-', '24', '132089']
['200.24.192.0', '19', '-', '20', '19114']
['186.64.128.0', '17', '-', '17', '52228']
['202.138.128.0', '18', '-', '18', '9497']
['154.66.88.0', '21', '-', '21', '37640']
['103.225.244.0', '22', '-', '22', '24550']
['123.176.0.0', '19', '-', '19', '7642']
['49.236.212.0', '22', '-', '22', '55915']
['191.100.0.0', '16', '-', '16', '27668']
['2800:9b0::', '32', '-', '32', '52342']
['192.151.136.0', '21', '-', '21', '17216']
['200.192.236.0', '22', '-', '22', '263248']
['103.12.176.0', '22', '-', '22', '58656']
['186.70.0.0', '15', '-', '23', '14522']
['124.217.0.0', '17', '-', '17', '9497']
['14.1.32.0', '19', '-', '24', '45177']
['198.24.12.0', '22', '-', '22', '17216']
['190.62.0.0', '16', '-', '16', '14754']
['2404:8600::', '32', '-', '37', '17732']
['195.158.32.0', '19', '-', '19', '8319']
['202.129.128.0', '19', '-', '19', '17732']
['2405:ef00::', '32', '-', '32', '58779']
['103.13.186.0', '23', '-', '23', '58443']
['203.104.24.0', '21', '-', '21', '7642']
['181.175.0.0', '16', '-', '22', '14522']
['207.248.192.0', '19', '-', '19', '27901']
['103.227.30.0', '23', '-', '23', '58443']
['202.44.98.0', '23', '-', '23', '17732']
['163.47.204.0', '22', '-', '22', '45177']
['203.123.48.0', '21', '-', '21', '37989']
['43.225.204.0', '22', '-', '22', '58599']
['179.63.252.0', '22', '-', '22', '263686']
['103.223.136.0', '23', '-', '23', '134743']
['201.201.190.0', '23', '-', '23', '16973']
['138.118.124.0', '22', '-', '22', '28005']
['2800:9a0::', '29', '-', '29', '14522']
['186.15.64.0', '18', '-', '18', '52228']
['103.227.28.0', '23', '-', '23', '58443']
['179.0.208.0', '20', '-', '20', '263232']
['200.7.192.0', '19', '-', '20', '19114']
['27.114.128.0', '18', '-', '18', '7642']
['200.115.32.0', '20', '-', '20', '19582']
['103.68.164.0', '22', '-', '22', '38719']
['2001:4cd8::', '32', '-', '32', '8319']
['2803:8300::', '32', '-', '32', '19582']
['202.144.128.0', '19', '-', '19', '17660']
['210.213.64.0', '18', '-', '18', '9299']
['2405:d000::', '32', '-', '32', '17660']
['185.22.128.0', '22', '-', '22', '60983']
['167.250.52.0', '22', '-', '22', '27901']
['183.177.96.0', '20', '-', '20', '58439']
['180.192.0.0', '14', '-', '14', '9497']
84
[Finished in 0.224s]
